#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
383510000 ; 0.00211079 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
383600000 ; 0.00191624 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
383688000 ; 0.000554395 ; 3.29803 ; 0 ; 0 ; Unknown ; Unknown ; -1
383777000 ; 0.00140126 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
383866000 ; 0.00219471 ; 3.29811 ; 0 ; 0 ; Unknown ; Unknown ; -1
383955000 ; 0.000596357 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
384044000 ; 0.000237775 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
384133000 ; 0.000855756 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
384222000 ; 0.00117238 ; 3.29826 ; 0 ; 0 ; Unknown ; Unknown ; -1
384311000 ; 0.00219471 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
384400000 ; 0.00166066 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
384490000 ; 0.00242741 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
384586000 ; 0.00180943 ; 3.2975 ; 0 ; 0 ; Unknown ; Unknown ; -1
384675000 ; 0.00105793 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
384764000 ; 0.00146611 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
384853000 ; 0.00218709 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
384943000 ; 0.00118763 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
385032000 ; 0.00223668 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
385121000 ; 0.00178654 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
385211000 ; 0.00127537 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
385307000 ; 0.00130208 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
385396000 ; 0.00208409 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
385486000 ; 0.0019315 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
385574000 ; 0.0010999 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
385664000 ; 0.00137837 ; 3.29796 ; 0 ; 0 ; Unknown ; Unknown ; -1
385753000 ; 0.00142796 ; 3.30055 ; 0 ; 0 ; Unknown ; Unknown ; -1
385842000 ; 0.00180943 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
385925000 ; 0.00119908 ; 3.29819 ; 0 ; 0 ; Unknown ; Unknown ; -1
386022000 ; 0.0010999 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
386118000 ; 0.00153859 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
386207000 ; 0.00158436 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
386296000 ; 0.0024236 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
386386000 ; 0.00256856 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
386475000 ; 0.000142408 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
386564000 ; 0.00121052 ; 3.29811 ; 0 ; 0 ; Unknown ; Unknown ; -1
386654000 ; 0.00113041 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
386743000 ; 0.000939679 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
386832000 ; 0.00182087 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
386921000 ; 0.00207264 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
387017000 ; 0.00118763 ; 3.2975 ; 0 ; 0 ; Unknown ; Unknown ; -1
387113000 ; 0.00080998 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
387202000 ; 0.00123723 ; 3.29903 ; 0 ; 0 ; Unknown ; Unknown ; -1
387292000 ; 0.00250752 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
387382000 ; 0.00137074 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
387471000 ; 0.00241597 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
387561000 ; 0.0752042 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
387651000 ; 0.0854047 ; 3.29727 ; 0 ; 0 ; Unknown ; Unknown ; -1
387740000 ; 0.0765088 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
387829000 ; 0.0790151 ; 3.29704 ; 0 ; 0 ; Unknown ; Unknown ; -1
387925000 ; 0.0857824 ; 3.29666 ; 0 ; 0 ; Unknown ; Unknown ; -1
388021000 ; 0.0744031 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
388111000 ; 0.0618528 ; 3.2972 ; 0 ; 0 ; Unknown ; Unknown ; -1
388201000 ; 0.0918401 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
388290000 ; 0.0796483 ; 3.29712 ; 0 ; 0 ; Unknown ; Unknown ; -1
