#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
444349000 ; 3.49013 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
444445000 ; 3.48404 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
444542000 ; 3.47674 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
444632000 ; 3.48283 ; 3.30055 ; 0 ; 0 ; Unknown ; Unknown ; -1
444722000 ; 3.49135 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
444805000 ; 3.495 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
444894000 ; 3.47552 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
444983000 ; 3.51935 ; 3.2975 ; 0 ; 0 ; Unknown ; Unknown ; -1
445072000 ; 3.48526 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
445161000 ; 3.44752 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
445250000 ; 3.47187 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
445339000 ; 3.46335 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
445429000 ; 3.50961 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
445518000 ; 3.49013 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
445608000 ; 3.51083 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
445697000 ; 3.46457 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
445787000 ; 3.48283 ; 3.29803 ; 0 ; 0 ; Unknown ; Unknown ; -1
445877000 ; 3.48648 ; 3.29903 ; 0 ; 0 ; Unknown ; Unknown ; -1
445967000 ; 3.50231 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
446057000 ; 3.47431 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
446147000 ; 3.48648 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
446236000 ; 3.467 ; 3.30017 ; 0 ; 0 ; Unknown ; Unknown ; -1
446319000 ; 3.495 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
446409000 ; 3.48891 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
446499000 ; 3.44022 ; 3.29727 ; 0 ; 0 ; Unknown ; Unknown ; -1
446595000 ; 3.51813 ; 3.2975 ; 0 ; 0 ; Unknown ; Unknown ; -1
446685000 ; 3.46335 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
446775000 ; 3.47309 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
446865000 ; 3.48648 ; 3.2972 ; 0 ; 0 ; Unknown ; Unknown ; -1
446953000 ; 3.49744 ; 3.29803 ; 0 ; 0 ; Unknown ; Unknown ; -1
447043000 ; 3.57901 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
447133000 ; 3.44265 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
447223000 ; 3.47065 ; 3.29834 ; 0 ; 0 ; Unknown ; Unknown ; -1
447313000 ; 3.50352 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
447403000 ; 3.50231 ; 3.30017 ; 0 ; 0 ; Unknown ; Unknown ; -1
447493000 ; 3.49013 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
447583000 ; 3.42804 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
447672000 ; 3.51935 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
447761000 ; 3.48283 ; 3.30017 ; 0 ; 0 ; Unknown ; Unknown ; -1
447849000 ; 3.49257 ; 3.29849 ; 0 ; 0 ; Unknown ; Unknown ; -1
447945000 ; 3.48526 ; 3.2972 ; 0 ; 0 ; Unknown ; Unknown ; -1
448034000 ; 3.49135 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
448124000 ; 3.5157 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
448214000 ; 3.48891 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
448304000 ; 3.57292 ; 3.29842 ; 0 ; 0 ; Unknown ; Unknown ; -1
448394000 ; 3.44509 ; 3.2975 ; 0 ; 0 ; Unknown ; Unknown ; -1
448484000 ; 3.48648 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
448573000 ; 3.51205 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
448663000 ; 3.48891 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
448753000 ; 3.49865 ; 3.29727 ; 0 ; 0 ; Unknown ; Unknown ; -1
448850000 ; 3.60701 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
448938000 ; 3.45361 ; 3.29895 ; 0 ; 0 ; Unknown ; Unknown ; -1
449029000 ; 3.50352 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
449119000 ; 3.48648 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
449209000 ; 3.48283 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
449292000 ; 3.59727 ; 3.2991 ; 0 ; 0 ; Unknown ; Unknown ; -1
449383000 ; 3.60579 ; 3.2975 ; 0 ; 0 ; Unknown ; Unknown ; -1
449473000 ; 3.495 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
449562000 ; 3.50352 ; 3.29704 ; 0 ; 0 ; Unknown ; Unknown ; -1
449652000 ; 3.495 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
449742000 ; 3.51083 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
449831000 ; 3.57048 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
449921000 ; 3.50718 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
450010000 ; 3.48039 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
450100000 ; 3.47431 ; 3.29712 ; 0 ; 0 ; Unknown ; Unknown ; -1
450190000 ; 3.50596 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
450280000 ; 3.49987 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
450370000 ; 3.49135 ; 3.29727 ; 0 ; 0 ; Unknown ; Unknown ; -1
450460000 ; 3.53274 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
450550000 ; 3.50231 ; 3.29773 ; 0 ; 0 ; Unknown ; Unknown ; -1
450640000 ; 3.49135 ; 3.2991 ; 0 ; 0 ; Unknown ; Unknown ; -1
450729000 ; 3.58022 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
450818000 ; 3.49135 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
450908000 ; 3.46578 ; 3.29803 ; 0 ; 0 ; Unknown ; Unknown ; -1
450998000 ; 3.57657 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
451088000 ; 3.49257 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
451184000 ; 3.49987 ; 3.2972 ; 0 ; 0 ; Unknown ; Unknown ; -1
451274000 ; 3.61553 ; 3.29758 ; 0 ; 0 ; Unknown ; Unknown ; -1
451365000 ; 3.4877 ; 3.2975 ; 0 ; 0 ; Unknown ; Unknown ; -1
451455000 ; 3.50718 ; 3.29742 ; 0 ; 0 ; Unknown ; Unknown ; -1
451544000 ; 3.5157 ; 3.29781 ; 0 ; 0 ; Unknown ; Unknown ; -1
451633000 ; 3.49744 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
451716000 ; 3.5997 ; 3.29788 ; 0 ; 0 ; Unknown ; Unknown ; -1
451805000 ; 3.54979 ; 3.29765 ; 0 ; 0 ; Unknown ; Unknown ; -1
451894000 ; 3.4877 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
451990000 ; 3.56805 ; 3.29735 ; 0 ; 0 ; Unknown ; Unknown ; -1
